"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
55,25,18,29,33,54,42,24,42,28,24,24,36,37,35,38,31,20,45,69
37,13,18,55,36,82,122,44,0,21,34,11,123,54,66,65,70,12,61,108
19,3,4,30,9,50,46,15,39,10,13,7,54,19,22,28,28,5,30,39
71,6,6,52,6,75,87,17,0,27,46,8,164,53,68,73,62,7,57,75
27,6,8,12,9,31,36,9,24,9,11,7,68,14,14,16,11,9,27,25
32,10,9,20,11,32,37,6,23,8,15,12,74,33,22,28,38,3,19,19
43,15,15,31,22,49,45,15,22,10,13,13,50,39,29,22,32,7,34,35
37,9,6,24,10,41,31,9,14,7,12,5,12,8,19,10,9,6,14,33
30,10,12,28,17,46,30,17,28,13,16,11,26,17,22,14,19,6,23,30
21,4,31,80,34,114,141,0,0,52,54,9,138,53,91,87,94,14,139,112
39,6,37,70,11,81,123,0,0,28,38,2,94,43,80,108,95,8,68,98
33,17,9,45,9,82,98,10,0,17,19,5,90,43,43,94,57,10,22,32
24,8,6,24,8,37,38,3,15,10,12,10,48,17,20,31,24,7,18,20
51,16,20,35,21,40,48,16,33,13,16,15,29,39,33,34,28,10,23,33
23,10,20,43,33,64,52,17,0,16,26,15,25,20,25,26,20,17,23,47
11,7,14,28,18,57,46,16,0,14,26,11,30,12,21,26,19,16,31,32
10,9,10,30,15,52,48,12,42,14,20,16,24,17,16,21,19,10,26,18
27,9,36,78,26,105,138,0,0,33,50,9,106,34,100,116,88,11,35,111
14,11,16,34,13,61,58,21,0,13,23,14,63,24,46,59,46,13,24,38
24,16,15,31,19,66,50,14,0,14,15,5,51,17,25,45,17,4,17,25
24,10,15,26,14,38,37,15,20,11,24,15,28,15,17,32,26,10,26,28
16,5,10,121,12,44,33,8,22,8,10,6,23,11,16,11,19,7,8,21
14,1,7,25,7,30,40,3,20,5,13,3,25,11,12,10,20,5,6,18
18,17,11,37,28,52,60,34,0,15,36,9,50,23,44,51,46,12,28,18
9,8,12,52,21,130,156,40,0,20,42,3,83,41,56,110,64,5,48,57
38,14,17,66,15,95,121,25,0,11,14,4,45,34,46,89,57,9,52,67
21,5,11,23,12,42,45,11,0,10,13,10,27,14,22,37,24,7,22,24
43,14,15,39,19,62,70,36,0,35,32,12,57,27,43,59,44,17,29,40
54,56,46,89,37,47,165,0,0,32,40,14,142,24,87,144,94,8,48,109
5,11,15,26,6,83,63,7,38,4,3,4,29,3,14,25,14,2,9,15
13,9,8,13,10,22,27,5,13,9,16,4,15,18,27,7,16,17,14,7
12,5,9,10,9,40,19,4,12,7,9,5,14,11,16,14,12,8,8,7
17,18,28,62,17,114,167,33,0,27,47,8,48,39,62,101,83,17,52,72
15,18,13,41,21,70,69,20,0,17,19,10,42,29,31,61,51,11,30,30
12,17,9,30,11,45,43,18,0,9,17,5,26,13,25,42,36,8,25,26
22,8,12,44,6,133,82,13,0,7,11,4,45,12,29,71,45,7,18,75
14,17,17,19,16,47,41,20,25,12,22,5,32,11,21,30,26,12,11,19
18,10,18,22,10,44,36,16,30,16,15,9,25,24,33,22,24,11,13,15
9,10,21,49,21,72,93,13,37,5,4,4,52,5,48,28,46,8,14,12
19,8,8,17,12,50,29,12,20,10,8,9,18,14,16,14,14,11,8,10
61,48,33,67,43,89,112,31,0,20,14,7,53,42,36,117,77,10,58,70
32,28,20,56,30,89,80,34,0,33,28,13,55,24,47,88,68,34,61,57
4,4,4,8,3,12,13,2,14,2,3,1,6,2,5,11,10,5,3,5
23,15,13,14,17,46,36,19,37,14,13,13,19,14,26,32,23,15,16,19
21,15,38,42,41,76,74,26,0,18,14,2,57,4,50,64,53,25,33,47
29,2,45,80,33,108,119,6,0,6,4,2,78,3,56,78,82,13,3,38
10,2,6,8,2,26,18,3,12,2,2,2,23,2,18,11,10,3,3,2
5,1,2,4,3,24,18,1,13,2,1,1,23,1,6,3,2,1,1,1
3,1,0,3,1,8,8,0,13,0,21,10,5,3,3,42,2,18,2,1
12,3,2,9,3,11,25,3,21,3,1,2,11,3,4,3,4,4,1,1
45,74,23,75,35,119,114,28,0,17,35,10,63,51,65,148,78,23,86,113
128,90,39,90,24,140,144,0,0,24,35,14,55,34,74,135,85,37,102,74
127,66,20,106,24,147,149,27,0,19,34,9,41,7,89,133,92,49,76,96
24,22,14,52,17,80,70,16,0,13,12,11,34,6,47,75,58,31,18,40
12,13,19,41,13,75,61,18,0,14,12,4,39,6,40,75,60,34,25,31
9,6,6,18,8,46,26,7,18,10,3,3,14,8,16,21,11,6,6,8
10,2,10,38,6,57,54,3,36,7,3,1,21,5,31,22,24,6,6,7
8,1,8,15,3,35,46,1,38,8,0,10,13,1,18,24,5,2,1,0
14,3,8,12,3,39,22,3,25,6,3,4,12,3,12,16,10,5,3,1
26,3,7,23,10,42,30,3,32,5,3,1,12,4,13,31,14,9,7,6
33,110,43,142,103,167,224,0,0,84,76,30,144,134,130,209,159,24,158,178
27,84,40,71,34,109,121,33,0,20,17,4,47,45,95,112,81,24,91,102
48,31,17,49,8,72,69,7,35,14,24,2,26,6,38,75,53,23,37,50
20,11,15,34,11,39,29,6,21,5,9,5,14,8,25,46,32,23,19,13
15,18,14,24,14,48,28,7,31,12,11,4,20,4,30,48,25,30,26,10
2,1,6,38,10,39,33,1,25,3,1,0,15,1,20,33,23,4,2,2
9,8,23,47,33,69,86,0,0,11,2,1,62,1,45,64,60,18,6,6
17,9,41,52,25,92,72,6,0,8,5,2,53,7,71,93,54,29,14,5
10,5,9,16,5,31,31,2,23,6,6,3,17,2,21,30,10,7,3,3
18,6,15,32,11,28,32,5,0,11,7,4,15,7,34,55,29,14,9,8
23,143,82,195,137,231,272,0,0,69,69,7,113,102,183,262,252,108,163,222
43,116,112,153,124,206,225,0,0,72,105,18,112,120,180,190,169,122,132,147
46,34,27,45,23,34,39,19,28,19,24,11,23,25,55,52,44,18,39,27
3,3,4,16,6,15,15,4,16,5,6,4,4,8,13,35,22,12,19,8
9,15,21,38,23,26,24,10,25,13,9,4,16,6,28,31,21,24,25,16
4,6,4,22,6,29,20,4,17,5,6,3,10,4,14,23,15,12,6,8
17,15,13,51,19,51,31,10,23,7,8,4,19,10,35,44,30,19,14,17
36,19,18,39,14,64,49,8,37,19,12,4,18,5,36,59,35,27,15,8
8,9,12,51,7,56,19,5,29,9,9,5,9,5,23,33,14,18,5,6
11,12,10,33,8,24,28,7,28,11,9,7,12,5,16,25,21,13,11,8
19,17,21,32,22,40,42,11,14,9,5,2,14,5,25,38,26,8,4,4
16,72,39,79,56,121,122,11,0,23,14,2,22,34,101,157,115,54,97,70
12,16,14,16,10,15,20,8,9,8,9,6,11,16,14,19,16,12,9,4
6,11,10,50,6,36,48,1,38,9,2,11,7,3,34,53,36,11,24,9
2,27,15,50,20,39,48,9,39,22,15,3,18,8,48,58,56,21,33,17
16,22,48,70,35,62,77,2,0,7,14,3,51,7,62,78,80,32,33,32
1,11,11,32,5,28,44,2,23,2,14,1,29,1,31,41,41,20,17,12
3,16,23,46,10,62,56,3,30,4,3,0,18,2,31,65,62,28,17,7
6,37,39,75,10,96,87,8,0,18,3,5,35,5,68,91,72,27,10,12
44,18,58,107,6,115,170,2,0,6,2,1,42,6,88,132,103,33,8,9
20,12,16,43,8,57,54,14,15,8,10,10,76,58,35,30,32,7,21,22
12,0,2,67,2,44,50,2,2,1,21,4,51,53,15,4,9,1,6,6
26,2,12,25,3,48,62,5,6,2,3,7,62,57,17,20,36,2,24,6
35,6,33,30,12,23,23,5,16,2,2,31,55,36,37,33,59,6,40,13
42,5,25,35,8,64,55,15,33,4,6,29,87,56,43,33,53,6,49,58
13,6,12,20,8,23,18,9,10,5,8,12,38,30,17,15,22,7,15,23
35,6,18,29,16,38,38,14,21,6,12,16,41,36,44,31,44,11,18,32
66,6,38,50,25,43,36,9,29,7,15,23,100,57,49,33,52,29,39,121
36,7,25,41,10,43,38,8,25,7,13,20,74,39,44,27,40,11,24,49
105,7,31,50,20,62,45,9,28,11,10,36,55,38,45,37,47,23,45,64
41,17,26,74,21,31,32,12,19,9,9,14,38,18,43,46,39,25,22,52
70,10,15,29,16,36,35,13,29,6,11,14,42,22,26,27,24,12,22,60
45,6,22,31,11,45,38,6,20,5,6,7,37,37,30,19,31,5,12,33
23,9,13,28,16,22,20,16,18,13,14,14,33,25,24,24,30,14,18,35
7,4,11,18,9,20,39,9,19,5,5,6,44,21,19,17,29,8,9,38
21,5,5,15,7,20,20,5,7,5,5,6,26,18,11,14,16,6,9,15
3,1,4,22,3,12,14,2,11,2,4,2,13,6,3,7,6,1,1,5
29,3,13,22,8,31,19,8,29,6,8,6,27,26,13,15,33,14,19,35
6,1,2,5,4,25,17,1,16,3,4,0,10,3,10,5,9,4,4,11
1,1,4,26,2,40,36,11,18,1,2,1,25,11,6,9,29,5,6,19
57,53,13,58,44,150,94,0,0,121,129,0,24,81,107,222,76,43,80,102
129,74,30,184,133,251,175,0,0,160,201,0,118,90,158,277,127,152,248,207
28,52,30,79,51,95,86,0,0,71,115,0,30,38,85,84,56,49,107,78
41,67,53,129,76,147,130,0,0,108,179,0,63,85,127,192,98,80,182,192
55,36,32,82,83,154,135,0,0,138,190,0,62,50,120,226,89,65,144,176
55,30,44,68,43,90,72,0,0,71,62,0,28,36,103,104,37,33,74,109
18,12,8,22,9,39,31,27,16,25,22,0,9,11,26,36,12,7,15,25
43,20,22,22,27,48,47,37,0,24,38,13,8,25,57,56,31,29,41,41
13,8,7,21,18,32,34,20,12,26,42,9,7,21,42,49,26,0,41,25
8,17,4,15,12,26,38,28,34,30,44,12,13,13,38,39,27,9,34,37
47,49,41,78,58,121,100,0,0,141,159,55,60,52,136,168,103,80,140,144
5,9,13,34,23,19,29,14,10,33,21,7,10,12,26,36,19,13,13,15
76,53,40,83,72,90,99,0,0,144,117,19,59,42,168,191,82,67,98,193
42,34,26,146,51,143,128,0,0,97,144,10,19,32,119,234,70,21,116,231
